card_name,card_brand,domestic_offer_amount,domestic_offer_type,overseas_offer_amount,overseas_offer_type,card_img,card_record,card_overseas
신한카드 Hi-Point,신한카드,30000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png,500000,"VISA,mastercard,JCB"
신한카드 Love,신한카드,,,70000.0,1.0,https://api.card-gorilla.com:8080/storage/card/2/card_img/20084/2card.png,1000000,"VISA,mastercard,AMEX,UnionPay"
신한카드 Lady,신한카드,,,70000.0,1.0,https://api.card-gorilla.com:8080/storage/card/3/card_img/20085/3card.png,500000,"VISA,mastercard,UnionPay"
SK에너지 신한카드The you,신한카드,80000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/4/card_img/20086/4card.png,300000,"VISA,mastercard,UnionPay"
GS칼텍스 신한카드Dream 100,신한카드,20000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/5/card_img/20087/5card.png,500000,VISA
신한카드 Cube,신한카드,,,100000.0,1.0,https://api.card-gorilla.com:8080/storage/card/6/card_img/20088/6card.png,500000,"VISA,mastercard"
신한카드 23.5°,신한카드,30000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/7/card_img/20089/7card.png,300000,VISA
신한카드 The CLASSIC-Y,신한카드,40000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/8/card_img/20090/8card.png,500000,"VISA,mastercard,UnionPay"
신한카드 아이행복,신한카드,,,70000.0,1.0,https://api.card-gorilla.com:8080/storage/card/9/card_img/20091/9card.png,500000,
신한카드 B.Big(삑),신한카드,,,0.0,1.0,https://api.card-gorilla.com:8080/storage/card/10/card_img/24226/10card.png,500000,"VISA,UnionPay"
신한카드 Simple+,신한카드,,,100000.0,1.0,https://api.card-gorilla.com:8080/storage/card/11/card_img/20093/11card.png,500000,"VISA,mastercard"
신한카드 Air Platinum#,신한카드,20000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/12/card_img/20094/12card.png,300000,"VISA,mastercard"
신한카드 Mr.Life,신한카드,0.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/13/card_img/20095/13card.png,1000000,VISA
신한카드 YOLO ⓘ,신한카드,,,50000.0,1.0,https://api.card-gorilla.com:8080/storage/card/14/card_img/20096/14card.png,300000,VISA
신한카드 The CLASSIC+,신한카드,,,30000.0,1.0,https://api.card-gorilla.com:8080/storage/card/15/card_img/20097/15card.png,500000,AMEX
신한카드 RPM+ Platinum#,신한카드,,,20000.0,1.0,https://api.card-gorilla.com:8080/storage/card/16/card_img/20098/16card.png,300000,"VISA,UnionPay"
신한카드 YOLO Tasty,신한카드,50000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/17/card_img/20099/17card.png,300000,VISA
신한카드 Shopping,신한카드,,,50000.0,1.0,https://api.card-gorilla.com:8080/storage/card/18/card_img/20100/18card.png,300000,VISA
신한카드 O2O,신한카드,50000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/19/card_img/20101/19card.png,300000,mastercard
신한카드 Simple Platinum#,신한카드,,,70000.0,1.0,https://api.card-gorilla.com:8080/storage/card/21/card_img/20103/21card.png,1000000,"VISA,UnionPay"
카카오페이 신한카드,신한카드,,,50000.0,1.0,https://api.card-gorilla.com:8080/storage/card/22/card_img/20104/22card.png,1000000,"mastercard,UnionPay"
신한카드 Always FAN,신한카드,,,50000.0,1.0,https://api.card-gorilla.com:8080/storage/card/23/card_img/20105/23card.png,1000000,
EDIYA 신한카드 Tasty,신한카드,10000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/24/card_img/20106/24card.png,500000,"mastercard,UnionPay"
신한카드 Noon,신한카드,70000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/25/card_img/20107/25card.png,1000000,"mastercard,UnionPay"
신한카드 Edu,신한카드,30000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/26/card_img/20108/26card.png,300000,mastercard
아시아나 신한카드 Air 1.5,신한카드,,,40000.0,1.0,https://api.card-gorilla.com:8080/storage/card/27/card_img/25865/27card.png,1000000,mastercard
신세계 신한카드,신한카드,90000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/28/card_img/20110/28card.png,1000000,"mastercard,UnionPay"
TLX PASS 신한카드,신한카드,40000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/29/card_img/20111/29card.png,300000,"VISA,UnionPay"
모바일 Tmoney 신한카드,신한카드,80000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/30/card_img/20112/30card.png,300000,"VISA,UnionPay"
신한카드 All Pass,신한카드,40000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/31/card_img/20113/31card.png,500000,"VISA,UnionPay"
신한카드 Deep Dream,신한카드,,,100000.0,1.0,https://api.card-gorilla.com:8080/storage/card/32/card_img/20114/32card.png,1000000,"VISA,UnionPay"
신한카드 The CLASSIC-L,신한카드,80000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/33/card_img/20115/33card.png,500000,mastercard
GS칼텍스 신한카드 Shine,신한카드,,,0.0,1.0,https://api.card-gorilla.com:8080/storage/card/35/card_img/20117/35card.png,500000,"VISA,mastercard"
신한카드 Cube Platinum#,신한카드,,,10000.0,1.0,https://api.card-gorilla.com:8080/storage/card/36/card_img/23899/36card.png,500000,"VISA,mastercard,AMEX"
신한카드 The BEST-F,신한카드,,,40000.0,1.0,https://api.card-gorilla.com:8080/storage/card/37/card_img/20118/37card.png,300000,VISA
신한카드 Lesson Platinum#,신한카드,,,0.0,1.0,https://api.card-gorilla.com:8080/storage/card/38/card_img/20119/38card.jpg,1000000,AMEX
신한카드 Deep Oil,신한카드,,,10000.0,1.0,https://api.card-gorilla.com:8080/storage/card/39/card_img/20120/39card.png,1000000,mastercard
신한카드 Deep Dream Platinum+,신한카드,20000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/40/card_img/20121/40card.png,1000000,"VISA,UnionPay"
신한카드 Deep On Platinum+,신한카드,70000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/41/card_img/20122/41card.png,300000,"mastercard,UnionPay"
SOCAR 제휴 SOCAR 신한카드,신한카드,,,80000.0,1.0,https://api.card-gorilla.com:8080/storage/card/42/card_img/20123/42card.png,300000,VISA
신한카드 Deep Store,신한카드,,,10000.0,1.0,https://api.card-gorilla.com:8080/storage/card/43/card_img/20124/43card.png,500000,mastercard
위메프페이 신한카드,신한카드,,,100000.0,1.0,https://api.card-gorilla.com:8080/storage/card/44/card_img/20125/44card.png,500000,mastercard
American Express Blue(아멕스블루),삼성카드,30000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/45/card_img/20126/45card.png,500000,AMEX
삼성카앤모아카드,삼성카드,,,60000.0,1.0,https://api.card-gorilla.com:8080/storage/card/46/card_img/20127/46card.png,300000,mastercard
삼성카드4,삼성카드,10000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/47/card_img/20128/47card.png,300000,"AMEX,UnionPay"
국민행복 삼성카드,삼성카드,40000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/48/card_img/20129/48card.png,1000000,"mastercard,UnionPay"
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,70000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/49/card_img/24313/49card.png,1000000,AMEX
아시아나 삼성지엔미플래티늄카드,삼성카드,40000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/50/card_img/20131/50card.png,1000000,mastercard
삼성카드 taptap O,삼성카드,60000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/51/card_img/20132/51card.png,300000,mastercard
삼성카드 taptap S,삼성카드,20000.0,0.0,,,https://api.card-gorilla.com:8080/storage/card/52/card_img/20133/52card.png,300000,mastercard
